brand,name,price,n_shades,rating
Yves Saint Laurent,Fusion Ink Foundation SPF18,C$64.00,,4 stars
shu uemura,The Lightbulb Essence Essential-Oil-In Foundation,C$66.00,7 more colors,4 stars
Josie Maran,Argan Tinted Moisturizer,C$46.00,,4 stars
shu uemura,The Lightbulb Fluid Foundation,C$63.00 - C$64.00,11 more colors,4 stars
Dior,Star Fluid Foundation,C$64.00,,4 stars
Marc Jacobs Beauty,Perfection Powder - Featherweight Foundation,C$55.00,2 more colors,4 stars
Givenchy,Teint Couture Everwear 24H Wear & Comfort,C$75.00,19 more colors,3.5 stars
shu uemura,The Lightbulb Cushion,C$68.00,5 more colors,3 stars
Lancôme,Bienfait Multi-Vital Teinte Tinted Moisturizer Beauty Benefit Cream,C$58.00,,No stars
Natasha Denona,Face Glow Foundation,C$56.00,,No stars
Yves Saint Laurent,Le Cushion Encre de Peau Collector Fusion Ink Cushion Foundation,C$75.00,2 more colors,No stars
PAT McGRATH LABS,Skin Fetish: Sublime Perfection Foundation,C$90.00,35 more colors,No stars
Urban Decay,Stay Naked Weightless Foundation,C$53.00,49 more colors,No stars
Smashbox,Studio Skin Full Coverage 24 Hour Foundation,C$48.00,39 more colors,No stars
